Label_x,Label_y,RSSI_1,proximity_1,accuracy_1,RSSI_2,proximity_2,accuracy_2,RSSI_3,proximity_3,accuracy_3,RSSI_4,proximity_4,accuracy_4,RSSI_5,proximity_5,accuracy_5,RSSI_6,proximity_6,accuracy_6,RSSI_7,proximity_7,accuracy_7,RSSI_8,proximity_8,accuracy_8
2.0,0.0,-60.0,far,4.800294150278218,-69.0,far,17.63173866608598,-77.0,far,37.852303897882194,-79.0,far,50.26098947834786,-76.0,far,42.451831615567066,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
3.0,0.0,-63.0,far,6.110325496531387,-70.0,far,16.831661425203894,-74.0,far,34.5175274463878,-75.0,far,50.26294714892363,-77.0,far,43.891707287585675,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
3.0,0.0,-62.0,far,6.091681445416016,-75.0,far,17.916612364000468,-70.0,far,31.369975453331186,-80.0,far,51.459206854665425,-74.0,far,41.058385936452154,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
3.0,0.0,-64.0,far,6.384571574906152,-70.0,far,17.779685599340116,-70.0,far,29.558610783107845,0.0,unknow,-1.0,-74.0,far,39.884318673414725,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
3.0,0.0,-62.0,far,6.489998257580271,-69.0,far,17.306368004047126,-73.0,far,28.450192238668397,-81.0,far,53.567297015671926,-73.0,far,37.465133055643626,0.0,unknow,-1.0,-82.0,far,85.43832482531134,0.0,unknow,-1.0
3.0,0.0,-65.0,far,6.797651093733756,-69.0,far,17.002432848582046,-73.0,far,28.124406569381698,-79.0,far,53.520395504588855,-73.0,far,36.25526351386185,0.0,unknow,-1.0,-80.0,far,83.66875815444408,0.0,unknow,-1.0
3.0,0.0,-66.0,far,7.177878038773329,-68.0,far,16.484978584035023,-72.0,far,27.51817389724286,-78.0,far,53.06190321240222,-72.0,far,34.74928024838432,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
3.0,0.0,-65.0,far,7.395255315350202,-69.0,far,16.286582524593214,-70.0,far,26.275776181004225,-77.0,far,52.18165533427363,-72.0,far,33.43535767223951,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
3.0,0.0,-65.0,far,7.5824515841570665,-68.0,far,15.87714007929616,-69.0,far,24.832413920704415,-76.0,far,50.88558699803879,-71.0,far,31.858118146804532,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
4.0,0.0,-63.0,far,8.150126119844954,-67.0,far,10.354667251257656,-73.0,far,21.635656427939562,-73.0,far,43.06844624408415,-78.0,far,31.858035937304354,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
4.0,0.0,-64.0,far,8.091546290114362,-72.0,far,11.007762154856234,-76.0,far,22.368467506117625,-73.0,far,41.23713229317691,-74.0,far,31.535249426613113,0.0,unknow,-1.0,-80.0,far,83.40104127270969,0.0,unknow,-1.0
4.0,0.0,-63.0,far,7.8474768191181825,-69.0,far,11.75414547452544,-74.0,far,23.26277408811619,-73.0,far,37.279543683453575,-72.0,far,29.980008802037286,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
4.0,0.0,-65.0,far,7.966055615822262,-68.0,far,11.877250733359348,-74.0,far,23.58330242834974,-76.0,far,37.19544032109947,-71.0,far,28.785313334201177,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
4.0,0.0,-66.0,far,8.195463997217654,-67.0,far,11.815935101314901,-73.0,far,23.655405714902823,-73.0,far,36.048551815304975,-72.0,far,28.10620511773733,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
4.0,0.0,-63.0,far,7.973511970021228,-69.0,far,12.086806108108448,-75.0,far,24.159137489792684,-77.0,far,36.31295874761118,-71.0,far,27.15659392643299,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
4.0,0.0,-62.0,far,7.627896475406647,-68.0,far,12.176324781952886,-76.0,far,24.83113278346634,-76.0,far,36.28924024968294,-70.0,far,25.964165105640962,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
4.0,0.0,-64.0,far,7.643538250358448,-68.0,far,12.256447434885276,-73.0,far,24.802242667773687,-75.0,far,35.95382139389289,-70.0,far,24.937695452632752,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
4.0,0.0,-65.0,far,7.785191818654187,-69.0,far,12.49092719917184,-73.0,far,24.775886910986017,-72.0,far,34.48429477531733,-71.0,far,24.362298139885496,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
5.0,0.0,-63.0,far,8.171934578981054,-63.0,far,6.013642073753255,-69.0,far,14.292222701570033,-79.0,far,32.450995732754606,-76.0,far,26.04135943322524,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
5.0,0.0,-64.0,far,8.08846311838165,-63.0,far,6.152139947212367,-71.0,far,14.88516258961631,0.0,unknow,-1.0,-77.0,far,27.443930467055477,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
5.0,0.0,-65.0,far,8.202444614096255,-62.0,far,6.123129169552028,-71.0,far,15.373749671170897,-78.0,far,35.20540267490547,-79.0,far,29.246439797090748,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
5.0,0.0,-64.0,far,8.12426055358335,-62.0,far,6.100545573108117,-68.0,far,14.981826714501642,-78.0,far,36.15221501911012,-79.0,far,30.87704676780805,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
5.0,0.0,-66.0,far,8.367735204011595,-65.0,far,6.431619474935116,-67.0,far,14.387538042120125,-78.0,far,36.984359467257924,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
5.0,0.0,-66.0,far,8.577314435508072,-63.0,far,6.49091659125444,-67.0,far,13.927060494844936,-78.0,far,37.72202801649814,-81.0,far,34.7278114716502,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
5.0,0.0,-64.0,far,8.444957214026598,-61.0,far,6.260297308886926,-68.0,far,13.796955592599213,-77.0,far,37.98798635884289,-79.0,far,35.93271110899165,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
5.0,0.0,-64.0,far,8.337226160082045,-63.0,far,6.341620142804611,-69.0,far,13.894919401866849,-78.0,far,38.6033853951766,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
5.0,0.0,-64.0,far,8.248297218246938,-60.0,far,5.997830488770689,-71.0,far,14.335266132348472,-79.0,far,39.498520059439194,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
5.0,0.0,-66.0,far,8.454481580915399,-60.0,far,5.735193779124669,-70.0,far,14.566598736083487,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
6.0,0.0,-63.0,far,7.80038635498005,-67.0,far,7.439869923013508,-70.0,far,17.027094189956422,-77.0,far,37.75975098827496,-79.0,far,37.61122265408494,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
6.0,0.0,-63.0,far,7.648151963698777,-66.0,far,7.733948605232634,-71.0,far,17.204011751775305,-80.0,far,38.78316071256157,-78.0,far,38.13812848151214,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
6.0,0.0,-63.0,far,7.520811350919488,-66.0,far,7.998880503856434,-69.0,far,16.912784709577583,-73.0,far,37.25016337392005,-79.0,far,38.91273947558968,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0
