Label,RSSI_1,proximity_1,accuracy_1,RSSI_2,proximity_2,accuracy_2,RSSI_3,proximity_3,accuracy_3,RSSI_4,proximity_4,accuracy_4
A,-70,far,13.851972330887127,-58,far,6.287732508355521,-61,far,8.067809240455722,-65,far,7.12144277637418
A,-71,far,14.259079447246837,-60,far,5.8786226713002945,-61,far,7.542128975803912,-63,far,7.071776386626396
A,-69,far,14.302248825995578,-60,far,5.603388529250497,-63,far,7.435441411925308,-60,far,6.549221960413908
A,-69,far,14.34100114525233,-62,far,5.669040856350341,-65,far,7.595746208941266,-62,far,6.458475952157203
A,-69,far,14.375773835417037,-72,far,6.4936675669363115,-62,far,7.327017440117714,-63,far,6.5099039049683425
A,-72,far,14.589858282251901,-62,far,5.583678965019067,-66,far,7.775793624596428,-58,far,5.331979915012505
A,-71,far,14.951489958557776,-61,far,5.530914097087841,-63,far,7.624595906992036,-58,far,4.9542525912909525
A,-71,far,15.289152220852296,-61,far,5.487521051306995,-62,far,7.344302311302458,-59,far,4.789185686844655
A,-71,far,15.602815056549481,-61,far,5.451707836896174,-64,far,7.397972414961483,-58,far,4.539359014193912
A,-69,far,15.501989937303598,-61,far,5.422049223949503,-63,far,7.3092286389464025,-59,far,4.455237210528857
A,-70,far,15.46202409726703,-63,far,5.667745467737243,-65,far,7.129242901618878,-60,far,4.4653230046259385
A,-69,far,15.378268389269465,-62,far,5.7185857577940835,-63,far,7.081825702011599,-55,far,3.895169066852599
A,-70,far,15.501512667403489,-63,far,5.871516754720889,-62,far,6.901003635607183,-55,far,3.516798643771367
A,-70,far,15.613606018543189,-63,far,6.005014454272537,-62,far,6.7529320305756295,-56,far,3.3506168059352808
A,-71,far,15.897903886849946,-62,far,6.003386243170739,-61,far,6.487284756674537,-59,far,3.471542978379378
A,-70,far,16.835916419036103,-65,far,6.616875098057073,-66,far,7.6887919391834885,-65,far,3.8975129164701303
A,-71,far,17.024309302266747,-63,far,6.646425454314116,-69,far,8.257982966030534,-63,far,4.258452565617665
A,-78,far,18.15584903710899,-62,far,6.53760426142394,-67,far,8.592279128864233,-63,far,4.590663155272916
A,-75,far,18.942557322967463,-61,far,6.3074039702349145,-67,far,8.895939444797321,-64,far,4.970538669144137
A,0,unknow,-1.0,-61,far,8.077369228216451,-63,far,8.536351051276519,-47,near,0.5069864120313541
