Label_x,Label_y,RSSI_1,proximity_1,accuracy_1,RSSI_2,proximity_2,accuracy_2,RSSI_3,proximity_3,accuracy_3,RSSI_4,proximity_4,accuracy_4,RSSI_5,proximity_5,accuracy_5,RSSI_6,proximity_6,accuracy_6,RSSI_7,proximity_7,accuracy_7,RSSI_8,proximity_8,accuracy_8
59.0,4.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-72.0,far,15.269886734300377,-73.0,far,17.714808166344564,-62.0,far,6.296306912630423,-63.0,far,8.986906169930746
59.0,4.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-72.0,far,15.746497255274377,-73.0,far,18.227081877139046,-62.0,far,6.23659184019933,-60.0,far,8.079786788039225
59.0,5.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-68.0,far,15.737646713031475,-71.0,far,18.417467095972185,-64.0,far,6.709606822666888,-70.0,far,8.141720050114248
59.0,5.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-69.0,far,15.623526695555226,-69.0,far,17.97394250598909,-71.0,far,7.486764261546167,-70.0,far,8.735977435737457
59.0,5.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-67.0,far,15.053306646398445,-69.0,far,17.59321055515316,-71.0,far,8.264563647204431,-68.0,far,9.12802697116604
59.0,5.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-67.0,far,15.053306646398445,-69.0,far,17.59321055515316,-71.0,far,8.264563647204431,-68.0,far,9.12802697116604
59.0,5.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-65.0,far,14.042386351887213,-67.0,far,16.712944644536396,-68.0,far,8.737040903417183,-69.0,far,9.607022624366286
59.0,5.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-68.0,far,13.918357787252505,-68.0,far,16.252720729084203,-71.0,far,9.480428115361907,-68.0,far,9.939267434273512
58.0,5.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-70.0,far,19.21894058956402,-71.0,far,19.673223738057757,-63.0,far,4.8245071800794594,-69.0,far,14.443134985104733
58.0,5.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-67.0,far,17.87919814047656,-71.0,far,19.605051021036186,-60.0,far,4.791560888455439,-72.0,far,14.976234391293186
58.0,5.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,0.0,unknow,-1.0,-66.0,far,15.152286960752747,-71.0,far,19.013606992248622,-58.0,far,4.423630665845257,-75.0,far,16.634992812458634
