Label,RSSI_1,proximity_1,accuracy_1,RSSI_2,proximity_2,accuracy_2,RSSI_3,proximity_3,accuracy_3,RSSI_4,proximity_4,accuracy_4
C,-62.0,far,6.465718070092612,-69.0,far,17.317496967000793,-72.0,far,27.76667337130296,-68.0,far,25.18157687725845
C,-61.0,far,6.07936508576546,-64.0,far,14.099006458225633,-67.0,far,22.74658360651372,-69.0,far,22.736245355169345
C,-61.0,far,6.07936508576546,-64.0,far,14.099006458225633,-67.0,far,22.74658360651372,-69.0,far,22.736245355169345
C,-63.0,far,6.238440705218596,-62.0,far,11.533033656936288,-70.0,far,21.656840241012265,-78.0,far,24.43717414619584
C,-63.0,far,6.238440705218596,-62.0,far,11.533033656936288,-70.0,far,21.656840241012265,-78.0,far,24.43717414619584
C,-63.0,far,6.238440705218596,-62.0,far,11.533033656936288,-70.0,far,21.656840241012265,-78.0,far,24.43717414619584
C,-63.0,far,6.238440705218596,-62.0,far,11.533033656936288,-70.0,far,21.656840241012265,-78.0,far,24.43717414619584
C,-63.0,far,6.350558556901895,-63.0,far,10.43197583036964,-70.0,far,20.86192186413411,-73.0,far,24.44308922803665
C,-63.0,far,6.350558556901895,-63.0,far,10.43197583036964,-70.0,far,20.86192186413411,-73.0,far,24.44308922803665
C,-63.0,far,6.350558556901895,-63.0,far,10.43197583036964,-70.0,far,20.86192186413411,-73.0,far,24.44308922803665
C,-59.0,far,5.740467283027849,-64.0,far,9.932936888824184,-67.0,far,18.963232243416865,-71.0,far,23.64157526758408
C,-59.0,far,5.740467283027849,-64.0,far,9.932936888824184,-67.0,far,18.963232243416865,-71.0,far,23.64157526758408
C,-59.0,far,5.740467283027849,-64.0,far,9.932936888824184,-67.0,far,18.963232243416865,-71.0,far,23.64157526758408
C,-62.0,far,5.785075528378868,-67.0,far,10.110797747135319,-70.0,far,18.671232603881116,-68.0,far,21.649826693890716
C,-62.0,far,5.785075528378868,-67.0,far,10.110797747135319,-70.0,far,18.671232603881116,-68.0,far,21.649826693890716
C,-67.0,far,6.328249926068253,-68.0,far,10.417581703433378,-70.0,far,18.42927280040604,-69.0,far,20.61007486794627
C,-67.0,far,6.328249926068253,-68.0,far,10.417581703433378,-70.0,far,18.42927280040604,-69.0,far,20.61007486794627
C,-67.0,far,6.328249926068253,-68.0,far,10.417581703433378,-70.0,far,18.42927280040604,-69.0,far,20.61007486794627
C,-66.0,far,6.745018838190134,-66.0,far,10.360395076297323,-66.0,far,16.90809631771245,-71.0,far,20.426894736820113
C,-66.0,far,6.745018838190134,-66.0,far,10.360395076297323,-66.0,far,16.90809631771245,-71.0,far,20.426894736820113
C,-67.0,far,7.223080214868684,-66.0,far,10.31213273104288,-65.0,far,15.417750515594316,-73.0,far,20.772252433325022
C,-67.0,far,7.223080214868684,-66.0,far,10.31213273104288,-65.0,far,15.417750515594316,-73.0,far,20.772252433325022
C,-67.0,far,7.223080214868684,-66.0,far,10.31213273104288,-65.0,far,15.417750515594316,-73.0,far,20.772252433325022
C,-60.0,far,6.489142062983575,-65.0,far,9.738352857206381,-64.0,far,13.569830433795865,-74.0,far,21.30162496023401
C,-60.0,far,6.489142062983575,-65.0,far,9.738352857206381,-64.0,far,13.569830433795865,-74.0,far,21.30162496023401
C,-60.0,far,6.489142062983575,-65.0,far,9.738352857206381,-64.0,far,13.569830433795865,-74.0,far,21.30162496023401
C,-60.0,far,6.115541492914836,-65.0,far,9.608402640021241,-65.0,far,12.842062463680163,-74.0,far,21.895891687104108
